ice,rain,wind,dry,snow,cold,danger
0,0.00,19.91,1,0,96.10,1
0,0.00,10.07,1,0,90.00,1
0,0.00,14.99,1,0,86.00,1
0,1.16,12.08,0,0,79.00,0
0,0.08,8.95,0,0,82.00,0
0,0.71,19.91,0,0,75.90,0
0,0.00,10.07,0,0,80.10,0
0,0.00,12.08,1,0,81.00,1
0,0.56,14.99,0,0,81.00,0
0,0.00,12.97,0,0,82.00,0
0,1.06,31.09,0,0,90.00,1
0,0.00,16.11,0,0,81.00,0
0,0.00,12.08,1,0,91.00,1
0,0.00,12.97,1,0,93.00,1
0,0.00,23.94,1,0,96.10,1
0,0.00,12.08,1,0,91.00,1
0,0.03,12.97,0,0,75.90,0
0,0.00,6.04,0,0,81.00,0
0,0.03,17.00,0,0,71.10,0
0,0.01,10.07,0,0,82.90,0
0,0.01,10.07,0,0,81.00,0
0,0.01,6.93,0,0,73.00,0
0,0.00,8.05,0,0,79.00,0
0,0.00,10.07,1,0,66.00,1
0,0.00,17.00,1,0,80.10,1
0,0.00,14.09,1,0,73.90,1
0,0.00,16.11,1,0,75.90,1
0,0.00,14.99,1,0,84.00,1
0,0.00,10.07,1,0,66.90,1
0,0.00,16.11,1,0,66.00,1
0,0.21,21.92,0,0,68.00,1
0,0.43,25.05,0,0,66.90,1
0,0.05,12.08,0,0,46.90,0
0,0.00,8.05,0,0,52.00,0
0,0.00,12.08,1,0,60.10,1
0,0.32,10.07,0,0,52.00,0
0,0.00,12.97,0,0,60.10,0
1,0.07,12.97,0,0,39.00,1
0,0.00,10.07,0,0,50.00,0
0,1.71,18.12,0,0,66.00,0
0,0.00,12.08,0,0,57.90,0
0,0.02,17.00,0,0,41.00,0
0,0.00,14.99,0,0,51.10,0
0,0.00,14.99,1,0,27.10,1
0,0.00,8.05,1,0,39.00,1
0,0.00,8.95,1,0,41.00,1
0,0.00,12.08,1,0,51.10,1
0,0.49,18.12,0,0,60.10,0
0,0.00,12.97,0,0,59.00,0
0,0.14,12.97,0,0,48.90,0
0,0.39,25.95,0,0,62.10,1
0,0.00,16.11,0,0,50.00,0
0,0.00,21.03,1,0,54.00,1
0,0.00,8.95,1,0,39.90,1
1,0.72,17.00,0,3.94,35.10,1
0,0.00,10.07,0,3.15,45.00,1
0,0.00,12.97,1,0,61.00,1
0,0.02,29.97,0,0,75.00,1
0,0.00,12.97,0,0,64.90,0
0,0.34,14.09,0,0,54.00,0
0,0.00,29.97,0,0,84.00,1
0,0.28,21.92,0,0,78.10,1
0,0.02,12.97,0,0,54.00,0
0,0.00,12.08,0,0,69.10,0
0,0.00,12.08,1,0,79.00,1
0,0.00,14.99,1,0,80.10,1
0,0.30,17.00,0,0,87.10,0
0,0.00,12.97,0,0,89.10,0
0,0.31,18.12,0,0,89.10,0
0,0.00,10.07,0,0,95.00,0
0,0.00,10.07,1,0,96.10,1
0,0.00,16.11,1,0,84.00,1
0,0.00,16.11,1,0,86.00,1
0,0.00,10.07,1,0,88.00,1
0,0.00,8.95,1,0,89.10,1
0,0.00,10.07,1,0,90.00,1
0,0.00,12.08,1,0,90.00,1
0,1.68,25.95,0,0,95.00,1
0,0.19,21.92,0,0,89.10,1
0,0.00,16.11,0,0,88.00,0
0,0.00,8.95,1,0,87.10,1
0,0.21,25.95,0,0,91.00,1
0,0.34,18.12,0,0,78.10,0
0,0.00,14.09,0,0,75.90,0
0,0.00,8.95,1,0,84.00,1
0,0.00,12.97,1,0,86.00,1
0,0.20,18.12,0,0,75.90,0
0,0.03,18.12,0,0,77.00,0
0,0.34,19.91,0,0,66.00,0
0,1.23,19.91,0,0,68.00,0
0,0.00,12.08,0,0,66.90,0
0,0.00,10.07,1,0,75.90,1
0,0.00,12.97,1,0,77.00,1
0,0.54,17.00,0,0,72.00,0
0,0.22,10.07,0,0,69.10,0
0,0.00,23.94,0,0,77.00,1
0,0.00,16.11,1,0,66.00,1
0,0.00,6.93,1,0,64.00,1
0,0.00,14.09,1,0,66.90,1
0,0.00,19.91,1,0,72.00,1
0,0.13,12.08,0,0,73.90,0
0,0.00,12.97,0,0,57.90,0
0,0.00,10.07,1,0,54.00,1
0,0.00,16.11,1,0,64.00,1
0,0.00,12.08,1,0,66.90,1
0,0.16,16.11,0,0,59.00,0
0,0.04,23.04,0,0,77.00,1
0,0.00,17.00,0,0,73.90,0
0,0.01,8.95,0,0,73.90,0
0,0.00,10.07,0,0,53.10,0
0,0.05,25.05,0,0,63.00,1
0,0.00,12.08,0,0,43.00,0
0,0.00,14.09,1,0,35.10,1
0,0.00,10.07,1,1.18,46.90,1
0,0.00,17.00,1,0,61.00,1
0,0.00,14.99,1,0,55.90,1
0,0.00,21.03,1,0,72.00,1
0,1.26,23.94,0,0,72.00,1
